"";"bzrID";"bzrNAME";"GESIx_2013";"GESIx_2022";"ESIx_2013";"ESIx_2022";"DI_2013";"DI_2022";"DII_2013";"DII_2022";"DIII_2013";"DIII_2022"
"83";80308;"Gropiusstadt";-0,80349088;-1,5374733;-1,0939656;-1,6802053;-1,0547827;-1,665499;-1,0005797;-1,5702392;0,048542116;-0,82649392
"84";80409;"Buckow Nord";0,67227423;0,15010522;0,47462693;-0,13575433;0,34319723;-0,22126646;0,55637562;-0,036860216;1,0186969;0,87048107
"85";80410;"Rudow";1,0124016;0,72547829;0,97875357;0,60395312;0,95448828;0,42493701;0,88367277;0,74478585;0,88962281;0,90328646
"86";90101;"Alt-Treptow";-0,14825299;0,34571055;0,12614526;0,18629807;-0,21218602;0,15707958;0,47204661;0,20274597;-0,74334013;0,68668717
"87";90102;"Plänterwald";0,24619454;-0,095749326;0,28245544;0,37937528;-0,053344209;0,24466306;0,60632658;0,49095207;0,1388111;-1,2907716
"88";90103;"Baumschulenweg";0,31315112;0,33360121;0,47316152;0,55010515;0,23425521;0,40077764;0,669927;0,66412967;-0,11123073;-0,2832993
"89";90104;"Johannisthal";0,5285539;0,64305282;0,60220587;0,64005911;0,52919286;0,54657215;0,60576481;0,68940723;0,2521477;0,52004415
"90";90205;"Oberschöneweide";-1,0878072;-0,45918542;-0,55034;-0,37175742;-0,73288244;-0,5650295;-0,28725764;-0,14340025;-2,133266;-0,55857819
"91";90206;"Niederschöneweide";0,046603717;-0,12896316;0,47588262;0,36558694;-0,032121364;-0,18150055;0,95983493;0,90630502;-0,9426384;-1,3126442
"92";90207;"Adlershof";0,29373848;0,24739151;0,44565898;0,45341578;0,20367521;0,18029638;0,64911282;0,7031635;-0,10715484;-0,30676976
"93";90208;"Köllnische Vorstadt/Spindlersfeld";-0,80100977;-0,39870507;-0,30010521;-0,18660426;-0,80972743;-0,69829625;0,28151485;0,35852489;-1,7891827;-0,79337811
"94";90309;"Altglienicke";0,43307453;0,25053638;0,52479035;0,38553149;0,37356743;0,055620484;0,62148553;0,69929808;0,1396831;-0,11233861
"95";90310;"Bohnsdorf";1,1862656;1,0161175;1,1728474;1,0776771;1,0333847;0,88958627;1,1768553;1,1926219;0,98995948;0,65488708
"96";90311;"Grünau";1,2193387;1,0055857;1,2323157;1,1195542;1,0724823;0,84159672;1,2507364;1,324674;0,95515072;0,52242708
"97";90312;"Schmöckwitz/Karolinenhof/Rauchfangswerder";1,8682435;1,4648731;1,5735148;1,5092524;1,5808225;1,3555301;1,3711662;1,5563495;2,1918976;1,0438571
"98";90413;"Köpenick Süd";0,67596251;0,82308626;0,6504252;0,55330759;0,57521963;0,92915082;0,65036529;0,12187956;0,60639662;1,2910458
"99";90414;"Allende-Viertel";-0,071741059;0,81556565;0,29703733;0,60351902;0,56500816;0,2184035;-0,026005827;0,95834923;-0,95965981;1,2356387
"100";90415;"Altstadt Kietz";-0,24927606;-0,9597199;-0,24218941;-0,71120816;-0,31221288;-0,67403042;-0,1374284;-0,69679505;-0,20963444;-1,3965211
"101";90416;"Müggelheim";1,4718417;1,6413972;1,5105919;1,460575;1,5077062;1,3998129;1,3269141;1,4147922;1,0815084;1,7537761
"102";90517;"Friedrichshagen";1,1717029;1,0061553;1,0655788;0,96043402;1,1951126;0,72370601;0,79543346;1,134611;1,1762062;0,93221408
"103";90518;"Rahnsdorf/Hessenwinkel";1,5861018;1,2516837;1,4397966;1,3119389;1,4553573;1,1207079;1,2451619;1,412683;1,6122916;0,84182781
"104";90519;"Dammvorstadt";0,15064073;0,59223324;0,45364693;0,71825147;0,18064535;0,56318468;0,689255;0,82570153;-0,5788486;0,15355906
"105";90520;"Köpenick Nord";0,75243092;1,1103927;0,92474705;1,0966532;0,80054224;1,0090692;0,94312567;1,1058409;0,19982104;0,91050476
"106";100101;"Marzahn Nord";-1,6154535;-1,4436153;-1,4941986;-1,0637428;-2,3072054;-0,97775954;-0,44078982;-1,0737215;-1,507198;-2,1203604
"107";100102;"Marzahn Mitte";-0,90555215;-1,074065;-0,9076702;-0,60964525;-1,5260817;-0,87939507;-0,13469604;-0,28416067;-0,66371709;-2,0057311
"108";100103;"Marzahn Süd";-0,046671499;-0,24830802;-0,088391744;-0,08068122;-0,42418483;-0,12384173;0,28132179;-0,029859943;0,091221333;-0,62274969
"109";100204;"Hellersdorf Nord";-1,7085791;-1,2958586;-1,4976602;-1,271646;-2,1971247;-1,3449621;-0,56514001;-1,1007499;-1,8050507;-1,0606686
"110";100205;"Hellersdorf Ost";-0,52442259;-0,55751181;-0,47417006;-0,47526792;-1,1399419;-0,71006858;0,29581186;-0,19608201;-0,48059368;-0,61607653
